DT_max_depth,Adr_n_estimator,R-square,RMSE
30,100,0.8505,60734741040.0
30,110,0.8516,60277718779.0
30,120,0.8254,70928747291.0
30,130,0.8253,70989859946.0
30,140,0.8254,70939873089.0
30,150,0.8255,70906209480.0
35,10,0.84,64988873928.0
35,20,0.8387,65537067479.0
35,30,0.8283,69750123559.0
35,40,0.8216,72491192172.0
35,50,0.8222,72251416250.0
35,60,0.8256,70840595191.0
35,70,0.8503,60805278320.0
35,80,0.8504,60799982321.0
35,90,0.8514,60371256236.0
35,100,0.8505,60734741040.0
35,110,0.8516,60277718779.0
35,120,0.8254,70928747291.0
35,130,0.8253,70989859946.0
35,140,0.8254,70939873089.0
35,150,0.8255,70906209480.0
40,10,0.84,64988873928.0
40,20,0.8387,65537067479.0
40,30,0.8283,69750123559.0
40,40,0.8216,72491192172.0
40,50,0.8222,72251416250.0
40,60,0.8256,70840595191.0
40,70,0.8503,60805278320.0
40,80,0.8504,60799982321.0
40,90,0.8514,60371256236.0
40,100,0.8505,60734741040.0
40,110,0.8516,60277718779.0
40,120,0.8254,70928747291.0
40,130,0.8253,70989859946.0
40,140,0.8254,70939873089.0
40,150,0.8255,70906209480.0
45,10,0.84,64988873928.0
45,20,0.8387,65537067479.0
45,30,0.8283,69750123559.0
45,40,0.8216,72491192172.0
45,50,0.8222,72251416250.0
45,60,0.8256,70840595191.0
45,70,0.8503,60805278320.0
45,80,0.8504,60799982321.0
45,90,0.8514,60371256236.0
45,100,0.8505,60734741040.0
45,110,0.8516,60277718779.0
45,120,0.8254,70928747291.0
45,130,0.8253,70989859946.0
45,140,0.8254,70939873089.0
45,150,0.8255,70906209480.0
50,10,0.84,64988873928.0
50,20,0.8387,65537067479.0
50,30,0.8283,69750123559.0
50,40,0.8216,72491192172.0
50,50,0.8222,72251416250.0
50,60,0.8256,70840595191.0
50,70,0.8503,60805278320.0
50,80,0.8504,60799982321.0
50,90,0.8514,60371256236.0
50,100,0.8505,60734741040.0
50,110,0.8516,60277718779.0
50,120,0.8254,70928747291.0
50,130,0.8253,70989859946.0
50,140,0.8254,70939873089.0
50,150,0.8255,70906209480.0
